seconds,car_flow,car_density,car_speed,avg_travel_time
283,4,0.193,20.72538860103627,6.948
284,2,0.136,14.705882352941176,9.792000000000002
285,4,0.142,28.169014084507044,5.112
286,6,0.149,40.26845637583893,3.576
287,4,0.158,25.31645569620253,5.688
288,5,0.1679999999999999,29.76190476190478,4.8383999999999965
289,1,0.1559999999999999,6.410256410256415,22.463999999999984
290,5,0.184,27.17391304347826,5.2992
291,1,0.139,7.194244604316546,20.016000000000002
292,3,0.1,30.0,4.8
293,4,0.096,41.66666666666666,3.456000000000001
294,2,0.13,15.384615384615383,9.36
295,1,0.183,5.46448087431694,26.352000000000004
296,1,0.133,7.518796992481203,19.151999999999997
297,5,0.192,26.041666666666668,5.529599999999999
298,5,0.173,28.901734104046245,4.9824
299,1,0.1699999999999999,5.882352941176474,24.479999999999986
300,9,0.192,46.875,3.072
301,8,0.1709999999999999,46.78362573099418,3.077999999999998
302,1,0.148,6.756756756756757,21.312
303,6,0.1609999999999999,37.26708074534164,3.863999999999998
304,1,0.216,4.62962962962963,31.104
305,13,0.145,89.65517241379311,1.606153846153846
306,1,0.1389999999999999,7.194244604316552,20.015999999999988
307,6,0.112,53.57142857142857,2.688
308,3,0.11,27.27272727272728,5.2799999999999985
309,6,0.072,83.33333333333334,1.728
310,4,0.08,50.0,2.88
311,3,0.144,20.833333333333336,6.912
312,8,0.208,38.46153846153846,3.744
313,5,0.215,23.25581395348837,6.192000000000001
314,10,0.178,56.17977528089888,2.5632
315,3,0.151,19.86754966887417,7.248000000000001
316,3,0.199,15.07537688442211,9.552000000000001
317,7,0.225,31.11111111111111,4.628571428571429
318,7,0.21,33.333333333333336,4.32
319,4,0.178,22.471910112359552,6.4079999999999995
320,6,0.184,32.608695652173914,4.4159999999999995
321,16,0.154,103.8961038961039,1.3860000000000001
322,5,0.09,55.55555555555556,2.592
323,5,0.18,27.77777777777778,5.184
324,4,0.1679999999999999,23.809523809523824,6.0479999999999965
325,5,0.198,25.252525252525253,5.7024
326,5,0.18,27.77777777777778,5.184
327,7,0.192,36.458333333333336,3.9497142857142857
328,2,0.188,10.638297872340424,13.536000000000001
329,7,0.155,45.16129032258065,3.1885714285714286
330,10,0.154,64.93506493506493,2.2176
331,9,0.158,56.962025316455694,2.528
332,7,0.1699999999999999,41.17647058823532,3.497142857142855
333,8,0.193,41.45077720207254,3.474
334,3,0.208,14.423076923076923,9.984
335,8,0.174,45.97701149425288,3.132
336,3,0.094,31.91489361702128,4.511999999999999
337,5,0.174,28.73563218390805,5.0112
338,5,0.209,23.92344497607656,6.019199999999999
339,1,0.208,4.807692307692308,29.951999999999998
340,2,0.212,9.433962264150944,15.264
341,6,0.18,33.333333333333336,4.32
342,9,0.177,50.84745762711864,2.8320000000000007
343,5,0.191,26.17801047120419,5.5008
344,1,0.187,5.347593582887701,26.928
345,7,0.1679999999999999,41.66666666666669,3.4559999999999977
346,2,0.1669999999999999,11.976047904191624,12.023999999999994
347,5,0.1679999999999999,29.76190476190478,4.8383999999999965
348,5,0.164,30.48780487804878,4.7232
349,4,0.173,23.121387283236995,6.228
350,7,0.173,40.46242774566474,3.558857142857143
351,1,0.183,5.46448087431694,26.352000000000004
352,1,0.1619999999999999,6.172839506172844,23.32799999999998
353,3,0.097,30.927835051546392,4.656000000000001
354,6,0.141,42.55319148936171,3.3839999999999995
355,6,0.18,33.333333333333336,4.32
356,4,0.189,21.164021164021165,6.803999999999999
357,6,0.193,31.088082901554404,4.632000000000001
358,5,0.19,26.31578947368421,5.472
359,5,0.1699999999999999,29.41176470588237,4.895999999999997
360,4,0.18,22.22222222222222,6.48
361,4,0.184,21.73913043478261,6.624
362,7,0.175,40.0,3.6
363,5,0.1679999999999999,29.76190476190478,4.8383999999999965
364,9,0.186,48.38709677419355,2.976
365,4,0.19,21.05263157894737,6.84
366,6,0.194,30.927835051546392,4.656000000000001
367,5,0.148,33.78378378378378,4.2623999999999995
368,4,0.179,22.3463687150838,6.444
369,7,0.175,40.0,3.6
370,6,0.158,37.974683544303794,3.7920000000000007
371,8,0.151,52.980132450331126,2.718
372,4,0.1609999999999999,24.844720496894425,5.795999999999997
373,5,0.155,32.25806451612903,4.464
374,6,0.166,36.14457831325301,3.9840000000000004
375,4,0.202,19.8019801980198,7.272000000000002
376,3,0.153,19.607843137254903,7.344
377,6,0.136,44.11764705882353,3.2640000000000002
378,3,0.0809999999999999,37.03703703703708,3.887999999999996
379,5,0.129,38.75968992248062,3.7152000000000003
380,3,0.1669999999999999,17.964071856287436,8.015999999999995
381,8,0.158,50.63291139240506,2.844
382,5,0.175,28.571428571428573,5.04
383,3,0.098,30.612244897959183,4.704000000000001
384,4,0.199,20.10050251256281,7.164000000000002
385,1,0.145,6.896551724137932,20.879999999999995
386,10,0.1509999999999999,66.22516556291394,2.174399999999999
387,4,0.158,25.31645569620253,5.688
388,8,0.198,40.4040404040404,3.5640000000000005
389,4,0.181,22.099447513812155,6.516
390,7,0.193,36.26943005181347,3.9702857142857146
391,7,0.185,37.83783783783784,3.8057142857142856
392,5,0.195,25.64102564102564,5.6160000000000005
393,7,0.19,36.8421052631579,3.908571428571428
394,2,0.154,12.987012987012989,11.088
395,7,0.188,37.234042553191486,3.867428571428572
396,5,0.19,26.31578947368421,5.472
397,11,0.198,55.55555555555555,2.5920000000000005
398,6,0.18,33.333333333333336,4.32
399,3,0.164,18.29268292682927,7.872000000000001
400,7,0.192,36.458333333333336,3.9497142857142857
401,3,0.198,15.15151515151515,9.504000000000001
402,4,0.135,29.629629629629623,4.860000000000001
404,2,0.197,10.152284263959393,14.183999999999997
405,2,0.151,13.245033112582782,10.872
406,1,0.094,10.638297872340424,13.536000000000001
407,6,0.127,47.24409448818898,3.048
408,2,0.1699999999999999,11.764705882352947,12.239999999999993
409,11,0.161,68.32298136645963,2.1076363636363635
410,5,0.137,36.4963503649635,3.945600000000001
411,4,0.102,39.21568627450981,3.672
412,3,0.135,22.22222222222222,6.48
413,7,0.1639999999999999,42.68292682926832,3.373714285714284
414,6,0.155,38.70967741935484,3.72
415,3,0.1549999999999999,19.35483870967744,7.4399999999999915
416,2,0.1379999999999999,14.492753623188417,9.935999999999993
417,2,0.151,13.245033112582782,10.872
418,4,0.128,31.25,4.6080000000000005
419,7,0.1169999999999999,59.82905982905988,2.406857142857141
420,2,0.08,25.0,5.76
421,4,0.111,36.03603603603604,3.996
422,4,0.1,40.0,3.6
423,5,0.048,104.16666666666669,1.3823999999999999
424,6,0.078,76.92307692307692,1.872
425,6,0.146,41.09589041095891,3.5039999999999996
426,4,0.148,27.027027027027028,5.328
427,4,0.099,40.4040404040404,3.5640000000000005
428,3,0.131,22.900763358778622,6.288000000000001
429,3,0.1699999999999999,17.647058823529424,8.159999999999995
430,7,0.158,44.30379746835443,3.250285714285714
431,2,0.141,14.184397163120568,10.152
432,3,0.121,24.793388429752067,5.808
434,5,0.135,37.03703703703704,3.888
435,3,0.103,29.12621359223301,4.944
436,1,0.09,11.11111111111111,12.96
437,3,0.12,25.0,5.76
438,2,0.092,21.73913043478261,6.624
439,2,0.105,19.047619047619047,7.56
440,1,0.038,26.31578947368421,5.472
441,4,0.098,40.81632653061224,3.5280000000000005
442,4,0.098,40.81632653061224,3.5280000000000005
443,3,0.128,23.4375,6.144
444,6,0.1149999999999999,52.17391304347831,2.7599999999999976
445,2,0.1319999999999999,15.151515151515165,9.503999999999992
446,8,0.1349999999999999,59.2592592592593,2.4299999999999984
447,3,0.111,27.027027027027028,5.328
448,4,0.132,30.3030303030303,4.752000000000001
449,3,0.1,30.0,4.8
451,1,0.0829999999999999,12.048192771084352,11.951999999999986
452,5,0.1,50.0,2.88
454,3,0.168,17.857142857142858,8.064
455,2,0.14,14.285714285714285,10.08
456,5,0.131,38.167938931297705,3.7728
457,2,0.095,21.05263157894737,6.84
458,3,0.056,53.57142857142857,2.688
459,6,0.191,31.413612565445025,4.584
460,3,0.162,18.51851851851852,7.776
